tx_id,gene_id,gene_name,gene_biotype
FBtr0299950,FBgn0259700,CG42354,protein_coding
FBtr0310316,FBgn0259700,CG42354,protein_coding
FBtr0310315,FBgn0259700,CG42354,protein_coding
FBtr0080815,FBgn0028520,CG4891,protein_coding
FBtr0075496,FBgn0036567,CG13074,protein_coding
FBtr0075446,FBgn0036568,ATPsynbetaL,protein_coding
FBtr0111011,FBgn0083983,mRpL34,protein_coding
FBtr0083227,FBgn0010379,Akt1,protein_coding
FBtr0083228,FBgn0010379,Akt1,protein_coding
FBtr0344717,FBgn0010379,Akt1,protein_coding
FBtr0083226,FBgn0010379,Akt1,protein_coding
FBtr0087255,FBgn0034073,CG8414,protein_coding
FBtr0302328,FBgn0036569,IleRS-m,protein_coding
FBtr0344470,FBgn0010379,Akt1,protein_coding
FBtr0087211,FBgn0014020,Rho1,protein_coding
FBtr0087216,FBgn0014020,Rho1,protein_coding
FBtr0087213,FBgn0014020,Rho1,protein_coding
FBtr0087212,FBgn0014020,Rho1,protein_coding
FBtr0087217,FBgn0014020,Rho1,protein_coding
FBtr0075495,FBgn0036570,IntS9,protein_coding
FBtr0087214,FBgn0014020,Rho1,protein_coding
FBtr0306825,FBgn0262987,CG43295,protein_coding
FBtr0075494,FBgn0263603,Zn72D,protein_coding
FBtr0310581,FBgn0263603,Zn72D,protein_coding
FBtr0310582,FBgn0263603,Zn72D,protein_coding
FBtr0075493,FBgn0263603,Zn72D,protein_coding
FBtr0333294,FBgn0263603,Zn72D,protein_coding
FBtr0333293,FBgn0263603,Zn72D,protein_coding
FBtr0087254,FBgn0265605,Ric,protein_coding
FBtr0300576,FBgn0265605,Ric,protein_coding
FBtr0336734,FBgn0034075,Asph,protein_coding
FBtr0300575,FBgn0034075,Asph,protein_coding
FBtr0087220,FBgn0034075,Asph,protein_coding
FBtr0305090,FBgn0034075,Asph,protein_coding
FBtr0310447,FBgn0034075,Asph,protein_coding
FBtr0087219,FBgn0034075,Asph,protein_coding
FBtr0305091,FBgn0034075,Asph,protein_coding
FBtr0305092,FBgn0034075,Asph,protein_coding
FBtr0114589,FBgn0010280,Taf4,protein_coding
FBtr0075448,FBgn0010280,Taf4,protein_coding
FBtr0333290,FBgn0010280,Taf4,protein_coding
FBtr0333291,FBgn0010280,Taf4,protein_coding
FBtr0075450,FBgn0010280,Taf4,protein_coding
FBtr0301911,FBgn0010280,Taf4,protein_coding
FBtr0075451,FBgn0010280,Taf4,protein_coding
FBtr0075449,FBgn0010280,Taf4,protein_coding
FBtr0345951,FBgn0010280,Taf4,protein_coding
FBtr0344008,FBgn0003319,Sb,protein_coding
FBtr0087222,FBgn0034076,Jhedup,protein_coding
FBtr0310302,FBgn0285879,disco-r,protein_coding
FBtr0310301,FBgn0285879,disco-r,protein_coding
FBtr0310303,FBgn0285879,disco-r,protein_coding
FBtr0074251,FBgn0285879,disco-r,protein_coding
FBtr0087223,FBgn0010052,Jhe,protein_coding
FBtr0301751,FBgn0010052,Jhe,protein_coding
FBtr0340021,FBgn0010052,Jhe,protein_coding
FBtr0333292,FBgn0036571,Strump,protein_coding
FBtr0301912,FBgn0036571,Strump,protein_coding
FBtr0075452,FBgn0036571,Strump,protein_coding
FBtr0087224,FBgn0050095,CG30095,protein_coding
FBtr0089592,FBgn0086676,spin,protein_coding
FBtr0089589,FBgn0086676,spin,protein_coding
FBtr0089590,FBgn0086676,spin,protein_coding
FBtr0089593,FBgn0086676,spin,protein_coding
FBtr0089591,FBgn0086676,spin,protein_coding
FBtr0075492,FBgn0003076,Pgm1,protein_coding
FBtr0083250,FBgn0003319,Sb,protein_coding
FBtr0075453,FBgn0011016,SsRbeta,protein_coding
FBtr0075491,FBgn0266724,Trs20,protein_coding
FBtr0089714,FBgn0036574,elg1,protein_coding
FBtr0307518,FBgn0036574,elg1,protein_coding
FBtr0089713,FBgn0036574,elg1,protein_coding
FBtr0080816,FBgn0028884,CG4892,protein_coding
FBtr0112359,FBgn0085197,CG34168,protein_coding
FBtr0343729,FBgn0266165,lncRNA:CR44871,ncRNA
FBtr0075490,FBgn0036575,CG5157,protein_coding
FBtr0307521,FBgn0036576,CG5151,protein_coding
FBtr0087231,FBgn0001124,Got1,protein_coding
FBtr0087232,FBgn0001124,Got1,protein_coding
FBtr0307519,FBgn0036576,CG5151,protein_coding
FBtr0307520,FBgn0036576,CG5151,protein_coding
FBtr0346525,FBgn0036576,CG5151,protein_coding
FBtr0346507,FBgn0052152,CG32152,protein_coding
FBtr0346508,FBgn0052152,CG32152,protein_coding
FBtr0087233,FBgn0050094,CG30094,protein_coding
FBtr0087234,FBgn0027091,CysRS,protein_coding
FBtr0347199,FBgn0038400,CG5903,protein_coding
FBtr0083281,FBgn0038400,CG5903,protein_coding
FBtr0344013,FBgn0038400,CG5903,protein_coding
FBtr0100513,FBgn0029175,sotv,protein_coding
FBtr0083251,FBgn0038401,CG5916,protein_coding
FBtr0344009,FBgn0038401,CG5916,protein_coding
FBtr0344527,FBgn0034081,CG10731,protein_coding
FBtr0345647,FBgn0034081,CG10731,protein_coding
FBtr0344012,FBgn0038402,Fer2,protein_coding
FBtr0344010,FBgn0038402,Fer2,protein_coding
FBtr0344011,FBgn0038402,Fer2,protein_coding
FBtr0301709,FBgn0038402,Fer2,protein_coding
FBtr0302084,FBgn0034083,lbk,protein_coding
FBtr0347113,FBgn0267655,lncRNA:CR45993,ncRNA
FBtr0347112,FBgn0267656,lncRNA:CR45994,ncRNA
FBtr0113477,FBgn0063649,CG6006,protein_coding
FBtr0087250,FBgn0034082,CG10734,protein_coding
FBtr0309302,FBgn0063649,CG6006,protein_coding
FBtr0309301,FBgn0063649,CG6006,protein_coding
FBtr0083252,FBgn0063649,CG6006,protein_coding
FBtr0309303,FBgn0063649,CG6006,protein_coding
FBtr0332023,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0332021,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0332025,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0332024,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0332022,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0090005,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0090003,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0332020,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0090006,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0090004,FBgn0001991,Ca-alpha1D,protein_coding
FBtr0309304,FBgn0263449,asRNA:CR43472,ncRNA
FBtr0091800,FBgn0053796,CG33796,protein_coding
FBtr0087249,FBgn0034084,CG8435,protein_coding
FBtr0346810,FBgn0053795,CG33795,protein_coding
FBtr0289985,FBgn0034085,Ptp52F,protein_coding
FBtr0113241,FBgn0038404,CG8925,protein_coding
FBtr0083253,FBgn0038404,CG8925,protein_coding
FBtr0346600,FBgn0267318,lncRNA:CR45754,ncRNA
FBtr0346601,FBgn0267319,lncRNA:CR45755,ncRNA
FBtr0346760,FBgn0264350,asRNA:CR43806,ncRNA
