tx_id,gene_id,gene_name,gene_biotype
ENSXETT00000001882,ENSXETG00000000845,SALL3,protein_coding
ENSXETT00000001886,ENSXETG00000000848,ECHS1,protein_coding
ENSXETT00000001887,ENSXETG00000000849,erlin1,protein_coding
ENSXETT00000001898,ENSXETG00000000853,NFATC1,protein_coding
ENSXETT00000001900,ENSXETG00000000855,moxd2p,protein_coding
ENSXETT00000001901,ENSXETG00000000856,CTDP1,protein_coding
ENSXETT00000001913,ENSXETG00000000869,atp6v1e1,protein_coding
ENSXETT00000001917,ENSXETG00000000870,SLC25A18,protein_coding
ENSXETT00000001919,ENSXETG00000000873,cecr2,protein_coding
ENSXETT00000001920,ENSXETG00000032215,SHQ1,protein_coding
ENSXETT00000001935,ENSXETG00000000887,rraga,protein_coding
ENSXETT00000001945,ENSXETG00000000890,,protein_coding
ENSXETT00000001948,ENSXETG00000000896,slco1a2,protein_coding
ENSXETT00000001959,ENSXETG00000000899,DCP1B,protein_coding
ENSXETT00000001960,ENSXETG00000000900,CACNA2D4,protein_coding
ENSXETT00000001964,ENSXETG00000009908,atp6v1a,protein_coding
ENSXETT00000001969,ENSXETG00000038696,,protein_coding
ENSXETT00000001972,ENSXETG00000000907,TMEM38B,protein_coding
ENSXETT00000001979,ENSXETG00000000906,TBC1D19,protein_coding
ENSXETT00000001981,ENSXETG00000000910,arl8a,protein_coding
ENSXETT00000001984,ENSXETG00000000909,FSD1L,protein_coding
ENSXETT00000001987,ENSXETG00000000916,FKTN,protein_coding
ENSXETT00000001988,ENSXETG00000000904,IL17RD,protein_coding
ENSXETT00000001993,ENSXETG00000000918,astl2g,protein_coding
ENSXETT00000001997,ENSXETG00000000923,TASOR,protein_coding
ENSXETT00000001999,ENSXETG00000000924,CCDC66,protein_coding
ENSXETT00000002002,ENSXETG00000022231,accs,protein_coding
ENSXETT00000002006,ENSXETG00000000927,,protein_coding
ENSXETT00000002007,ENSXETG00000000925,SLC44A1,protein_coding
ENSXETT00000002011,ENSXETG00000000911,CCKAR,protein_coding
ENSXETT00000002014,ENSXETG00000000931,pnliprp3,protein_coding
ENSXETT00000002025,ENSXETG00000000929,ERC2,protein_coding
ENSXETT00000002032,ENSXETG00000000933,rbbp5,protein_coding
ENSXETT00000002036,ENSXETG00000025500,astl2b,protein_coding
ENSXETT00000002038,ENSXETG00000046564,,protein_coding
ENSXETT00000002040,ENSXETG00000046629,RBPJ,protein_coding
ENSXETT00000002050,ENSXETG00000041874,,protein_coding
ENSXETT00000002065,ENSXETG00000000947,SEL1L3,protein_coding
ENSXETT00000002076,ENSXETG00000000953,ptgr2,protein_coding
ENSXETT00000002078,ENSXETG00000000957,anapc4,protein_coding
ENSXETT00000002081,ENSXETG00000000960,zcchc4,protein_coding
ENSXETT00000002083,ENSXETG00000044182,astl2f,protein_coding
ENSXETT00000002095,ENSXETG00000017772,MFGE8,protein_coding
ENSXETT00000002097,ENSXETG00000000962,PI4K2B,protein_coding
ENSXETT00000002100,ENSXETG00000000963,RNPEP,protein_coding
ENSXETT00000002104,ENSXETG00000000972,dcaf6,protein_coding
