tx_id,gene_id,gene_name,gene_biotype
ENSDART00000005112,ENSDARG00000071083,si:dkeyp-34c12.1,protein_coding
ENSDART00000005118,ENSDARG00000013302,GPX8,protein_coding
ENSDART00000005119,ENSDARG00000017445,EIF3I,protein_coding
ENSDART00000005127,ENSDARG00000017242,GAREM1,protein_coding
ENSDART00000005140,ENSDARG00000009681,MED27,protein_coding
ENSDART00000005143,ENSDARG00000007241,MYC,protein_coding
ENSDART00000005145,ENSDARG00000004823,ASZ1,protein_coding
ENSDART00000005158,ENSDARG00000017525,CCNT1,protein_coding
ENSDART00000005168,ENSDARG00000009864,DDX55,protein_coding
ENSDART00000005191,ENSDARG00000011146,UQCRB,protein_coding
ENSDART00000005195,ENSDARG00000052623,BSDC1,protein_coding
ENSDART00000005217,ENSDARG00000021059,ALAS1,protein_coding
ENSDART00000005221,ENSDARG00000020964,THAP12,protein_coding
ENSDART00000005244,ENSDARG00000043557,KCNK13,protein_coding
ENSDART00000005255,ENSDARG00000008920,mrpl53,protein_coding
ENSDART00000005263,ENSDARG00000014463,usf1l,protein_coding
ENSDART00000005292,ENSDARG00000008186,SYK,protein_coding
ENSDART00000005296,ENSDARG00000020332,nkx2.9,protein_coding
ENSDART00000005299,ENSDARG00000015709,HSD17B12,protein_coding
ENSDART00000005313,ENSDARG00000002635,FAM184A,protein_coding
ENSDART00000005321,ENSDARG00000012426,NEFL,protein_coding
ENSDART00000005326,ENSDARG00000013329,TTC5,protein_coding
ENSDART00000005329,ENSDARG00000032458,MARK2,protein_coding
ENSDART00000005331,ENSDARG00000001930,KLHL15,protein_coding
ENSDART00000005337,ENSDARG00000016830,RIMKLA,protein_coding
ENSDART00000005345,ENSDARG00000011521,UPB1,protein_coding
ENSDART00000005355,ENSDARG00000009253,RTRAF,protein_coding
ENSDART00000005359,ENSDARG00000012247,DEF6,protein_coding
ENSDART00000005366,ENSDARG00000013655,TPD52L2,protein_coding
ENSDART00000005373,ENSDARG00000013837,spo11,protein_coding
ENSDART00000005381,ENSDARG00000012325,zgc:110269,protein_coding
ENSDART00000005382,ENSDARG00000013576,GADD45B,protein_coding
ENSDART00000005405,ENSDARG00000005115,calub,protein_coding
ENSDART00000005431,ENSDARG00000020454,PSMD8,protein_coding
ENSDART00000005449,ENSDARG00000016788,zeb1a,protein_coding
ENSDART00000005464,ENSDARG00000012747,RER1,protein_coding
ENSDART00000005473,ENSDARG00000013292,TMEM179,protein_coding
ENSDART00000005479,ENSDARG00000003845,CHM,protein_coding
ENSDART00000005485,ENSDARG00000044976,krt93,protein_coding
ENSDART00000005496,ENSDARG00000010603,kctd9b,protein_coding
ENSDART00000005499,ENSDARG00000012019,GLRA1,protein_coding
ENSDART00000005547,ENSDARG00000002696,gnb3b,protein_coding
ENSDART00000005548,ENSDARG00000011818,BATF,protein_coding
ENSDART00000005562,ENSDARG00000004415,TCF7L2,protein_coding
ENSDART00000005568,ENSDARG00000014248,PDLIM3,protein_coding
